y,Ux (sim),Ux (an),,,,
0.663,4.7402,56780.6340352926,,,,
0.664,4.7402,56697.5333584414,,,,
0.665,4.7402,56613.9244205697,,,,
0.666,4.7402,56529.8072216775,,,,
0.667,4.7402,56445.1817617648,,,,
0.668,4.7402,56360.0480408317,,,,
0.669,4.7402,56274.406058878,,,,
0.67,4.7402,56188.2558159038,,,,
0.671,4.7402,56101.5973119091,,,,
0.672,4.7402,56014.430546894,,,,
0.673,4.7402,55926.7555208583,,,,
0.674,4.7402,55838.5722338021,,,,
0.675,4.7402,55749.8806857254,,,,
0.676,4.7402,55660.6808766283,,,,
0.677,4.7402,55570.9728065106,,,,
0.678,4.7402,55480.7564753725,,,,
0.679,4.7402,55390.0318832138,,,,
0.68,4.7402,55298.7990300347,,,,
0.681,4.7402,55207.057915835,,,,
0.682,4.7402,55114.8085406149,,,,
0.683,4.7402,55022.0509043742,,,,
0.684,4.7402,54928.7850071131,,,,
0.685,4.7402,54835.0108488315,,,,
0.686,4.7402,54740.7284295294,,,,
0.687,4.7402,54645.9377492067,,,,
0.688,4.7402,54550.6388078636,,,,
0.689,4.7402,54454.8316055,,,,
0.69,4.7402,54358.5161421159,,,,
0.691,4.7402,54261.6924177113,,,,
0.692,4.7402,54164.3604322862,,,,
0.693,4.7402,54066.5201858406,,,,
0.694,4.7402,53968.1716783745,,,,
0.695,4.7402,53869.3149098879,,,,
0.696,4.7402,53769.9498803808,,,,
0.697,4.7402,53670.0765898532,,,,
0.698,4.7402,53569.6950383051,,,,
0.699,4.7402,53468.8052257365,,,,
0.7,4.7402,53367.4071521474,,,,
0.701,4.7402,53265.5008175379,,,,
0.702,4.7402,53163.0862219078,,,,
0.703,4.7402,53060.1633652572,,,,
0.704,4.7402,52956.7322475862,,,,
0.705,4.7402,52852.7928688946,,,,
0.706,4.7402,52748.3452291825,,,,
0.707,4.7402,52643.38932845,,,,
0.708,4.7402,52537.9251666969,,,,
0.709,4.7402,52431.9527439234,,,,
0.71,4.7402,52325.4720601293,,,,
0.711,4.7402,52218.4831153148,,,,
0.712,4.7402,52110.9859094797,,,,
0.713,4.7402,52002.9804426242,,,,
0.714,4.7402,51894.4667147482,,,,
0.715,4.7402,51785.4447258516,,,,
0.716,4.7402,51675.9144759346,,,,
0.717,4.7402,51565.8759649971,,,,
0.718,4.7402,51455.3291930391,,,,
0.719,4.7402,51344.2741600605,,,,
0.72,4.7402,51232.7108660615,,,,
0.721,4.7402,51120.639311042,,,,
0.722,4.7402,51008.059495002,,,,
0.723,4.7402,50894.9714179415,,,,
0.724,4.7402,50781.3750798605,,,,
0.725,4.7402,50667.270480759,,,,
0.726,4.7402,50552.657620637,,,,
0.727,4.7402,50437.5364994946,,,,
0.728,4.7402,50321.9071173316,,,,
0.729,4.7402,50205.7694741481,,,,
0.73,4.7402,50089.1235699441,,,,
0.731,4.7402,49971.9694047196,,,,
0.732,4.7402,49854.3069784747,,,,
0.733,4.7402,49736.1362912092,,,,
0.734,4.7402,49617.4573429232,,,,
0.735,4.7402,49498.2701336168,,,,
0.736,4.7402,49378.5746632898,,,,
0.737,4.7402,49258.3709319423,,,,
0.738,4.7402,49137.6589395744,,,,
0.739,4.7402,49016.4386861859,,,,
0.74,4.7402,48894.710171777,,,,
0.741,4.7402,48772.4733963475,,,,
0.742,4.7402,48649.7283598976,,,,
0.743,4.7402,48526.4750624272,,,,
0.744,4.7402,48402.7135039362,,,,
0.745,4.7402,48278.4436844248,,,,
0.746,4.7402,48153.6656038929,,,,
0.747,4.7402,48028.3792623405,,,,
0.748,4.7402,47902.5846597675,,,,
0.749,4.7402,47776.2817961741,,,,
0.75,4.7402,47649.4706715602,,,,
0.751,4.7402,47522.1512859258,,,,
0.752,4.7402,47394.3236392709,,,,
0.753,4.7402,47265.9877315955,,,,
0.754,4.7402,47137.1435628996,,,,
0.755,4.7402,47007.7911331832,,,,
0.756,4.7402,46877.9304424463,,,,
0.757,4.7402,46747.5614906889,,,,
0.758,4.7402,46616.684277911,,,,
0.759,4.7402,46485.2988041126,,,,
0.76,4.7402,46353.4050692938,,,,
0.761,4.7402,46221.0030734544,,,,
0.762,4.7402,46088.0928165945,,,,
0.763,4.7402,45954.6742987142,,,,
0.764,4.7402,45820.7475198133,,,,
0.765,4.7402,45686.3124798919,,,,
0.766,4.7402,45551.3691789501,,,,
0.767,4.7402,45415.9176169877,,,,
0.768,4.7402,45279.9577940049,,,,
0.769,4.7402,45143.4897100015,,,,
0.77,4.7402,45006.5133649777,,,,
0.771,4.7402,44869.0287589333,,,,
0.772,4.7402,44731.0358918685,,,,
0.773,4.7402,44592.5347637832,,,,
0.774,4.7402,44453.5253746773,,,,
0.775,4.7402,44314.007724551,,,,
0.776,4.7402,44173.9818134042,,,,
0.777,4.7402,44033.4476412368,,,,
0.778,4.7402,43892.405208049,,,,
0.779,4.7402,43750.8545138407,,,,
0.78,4.7402,43608.7955586119,,,,
0.781,4.7402,43466.2283423626,,,,
0.782,4.7402,43323.1528650928,,,,
0.783,4.7402,43179.5691268025,,,,
0.784,4.7402,43035.4771274917,,,,
0.785,4.7402,42890.8768671604,,,,
0.786,4.7402,42745.7683458086,,,,
0.787,4.7402,42600.1515634363,,,,
0.788,4.7402,42454.0265200435,,,,
0.789,4.7402,42307.3932156302,,,,
0.79,4.7402,42160.2516501965,,,,
0.791,4.7402,42012.6018237422,,,,
0.792,4.7402,41864.4437362674,,,,
0.793,4.7402,41715.7773877721,,,,
0.794,4.7402,41566.6027782564,,,,
0.795,4.7402,41416.9199077201,,,,
0.796,4.7402,41266.7287761634,,,,
0.797,4.7402,41116.0293835861,,,,
0.798,4.7402,40964.8217299884,,,,
0.799,4.7402,40813.1058153701,,,,
0.8,4.7402,40660.8816397314,,,,
0.801,4.7402,40508.1492030721,,,,
0.802,4.7402,40354.9085053924,,,,
0.803,4.7402,40201.1595466922,,,,
0.804,4.7402,40046.9023269714,,,,
0.805,4.7402,39892.1368462302,,,,
0.806,4.7402,39736.8631044685,,,,
0.807,4.7402,39581.0811016863,,,,
0.808,4.7402,39424.7908378835,,,,
0.809,4.7402,39267.9923130603,,,,
0.81,4.7402,39110.6855272166,,,,
0.811,4.7402,38952.8704803524,,,,
0.812,4.7402,38794.5471724677,,,,
0.813,4.7402,38635.7156035625,,,,
0.814,4.7402,38476.3757736368,,,,
0.815,4.7402,38316.5276826906,,,,
0.816,4.7402,38156.1713307239,,,,
0.817,4.7402,37995.3067177368,,,,
0.818,4.7402,37833.9338437291,,,,
0.819,4.7402,37672.0527087009,,,,
0.82,4.7402,37509.6633126522,,,,
0.821,4.7402,37346.765655583,,,,
0.822,4.7402,37183.3597374933,,,,
0.823,4.7402,37019.4455583832,,,,
0.824,4.7402,36855.0231182525,,,,
0.825,4.7402,36690.0924171014,,,,
0.826,4.7402,36524.6534549297,,,,
0.827,4.7402,36358.7062317376,,,,
0.828,4.7402,36192.2507475249,,,,
0.829,4.7402,36025.2870022918,,,,
0.83,4.7402,35857.8149960381,,,,
0.831,4.7402,35689.834728764,,,,
0.832,4.7402,35521.3462004693,,,,
0.833,4.7402,35352.3494111542,,,,
0.834,4.7402,35182.8443608186,,,,
0.835,4.7402,35012.8310494624,,,,
0.836,4.7402,34842.3094770858,,,,
0.837,4.7402,34671.2796436887,,,,
0.838,4.7402,34499.7415492711,,,,
0.839,4.7402,34327.695193833,,,,
0.84,4.7402,34155.1405773744,,,,
0.841,4.7402,33982.0776998953,,,,
0.842,4.7402,33808.5065613957,,,,
0.843,4.7402,33634.4271618755,,,,
0.844,4.7402,33459.8395013349,,,,
0.845,4.7402,33284.7435797739,,,,
0.846,4.7402,33109.1393971923,,,,
0.847,4.7402,32933.0269535902,,,,
0.848,4.7402,32756.4062489676,,,,
0.849,4.7402,32579.2772833245,,,,
0.85,4.7402,32401.640056661,,,,
0.851,4.7402,32223.4945689769,,,,
0.852,4.7402,32044.8408202723,,,,
0.853,4.7402,31865.6788105472,,,,
0.854,4.7402,31686.0085398017,,,,
0.855,4.7402,31505.8300080356,,,,
0.856,4.7402,31325.1432152491,,,,
0.857,4.7402,31143.948161442,,,,
0.858,4.7402,30962.2448466145,,,,
0.859,4.7402,30780.0332707664,,,,
0.86,4.7402,30597.3134338979,,,,
0.861,4.7402,30414.0853360088,,,,
0.862,4.7402,30230.3489770993,,,,
0.863,4.7402,30046.1043571692,,,,
0.864,4.7402,29861.3514762187,,,,
0.865,4.7402,29676.0903342477,,,,
0.866,4.7402,29490.3209312562,,,,
0.867,4.7402,29304.0432672442,,,,
0.868,4.7402,29117.2573422116,,,,
0.869,4.7402,28929.9631561586,,,,
0.87,4.7402,28742.1607090851,,,,
0.871,4.7402,28553.8500009911,,,,
0.872,4.7402,28365.0310318766,,,,
0.873,4.7402,28175.7038017416,,,,
0.874,4.7402,27985.8683105861,,,,
0.875,4.7402,27795.5245584101,,,,
0.876,4.7402,27604.6725452136,,,,
0.877,4.7402,27413.3122709967,,,,
0.878,4.7402,27221.4437357592,,,,
0.879,4.7402,27029.0669395012,,,,
0.88,4.7401,26836.1818822227,,,,
0.881,4.7401,26642.7885639237,,,,
0.882,4.7401,26448.8869846043,,,,
0.883,4.7401,26254.4771442643,,,,
0.884,4.7401,26059.5590429038,,,,
0.885,4.7401,25864.1326805229,,,,
0.886,4.7401,25668.1980571214,,,,
0.887,4.7401,25471.7551726995,,,,
0.888,4.7401,25274.804027257,,,,
0.889,4.7401,25077.3446207941,,,,
0.89,4.7401,24879.3769533106,,,,
0.891,4.7401,24680.9010248067,,,,
0.892,4.7401,24481.9168352823,,,,
0.893,4.7401,24282.4243847373,,,,
0.894,4.7401,24082.4236731719,,,,
0.895,4.7401,23881.914700586,,,,
0.896,4.7401,23680.8974669795,,,,
0.897,4.7401,23479.3719723526,,,,
0.898,4.7401,23277.3382167052,,,,
0.899,4.7401,23074.7962000373,,,,
0.9,4.74,22871.7459223489,,,,
0.901,4.74,22668.18738364,,,,
0.902,4.7399,22464.1205839106,,,,
0.903,4.7399,22259.5455231607,,,,
0.904,4.7398,22054.4622013903,,,,
0.905,4.7398,21848.8706185994,,,,
0.906,4.7397,21642.770774788,,,,
0.907,4.7397,21436.1626699561,,,,
0.908,4.7396,21229.0463041037,,,,
0.909,4.7396,21021.4216772309,,,,
0.91,4.7395,20813.2887893375,,,,
0.911,4.7394,20604.6476404236,,,,
0.912,4.7394,20395.4982304893,,,,
0.913,4.7393,20185.8405595344,,,,
0.914,4.7393,19975.674627559,,,,
0.915,4.7392,19765.0004345632,,,,
0.916,4.7392,19553.8179805468,,,,
0.917,4.7391,19342.12726551,,,,
0.918,4.7391,19129.9282894526,,,,
0.919,4.739,18917.2210523748,,,,
0.92,4.739,18704.0055542764,,,,
0.921,4.7389,18490.2817951576,,,,
0.922,4.7388,18276.0497750183,,,,
0.923,4.7388,18061.3094938584,,,,
0.924,4.7387,17846.0609516781,,,,
0.925,4.7387,17630.3041484773,,,,
0.926,4.738,17414.0390842559,,,,
0.927,4.7373,17197.2657590141,,,,
0.928,4.7367,16979.9841727518,,,,
0.929,4.736,16762.194325469,,,,
0.93,4.7353,16543.8962171657,,,,
0.931,4.7347,16325.0898478419,,,,
0.932,4.734,16105.7752174976,,,,
0.933,4.7333,15885.9523261328,,,,
0.934,4.7326,15665.6211737475,,,,
0.935,4.732,15444.7817603417,,,,
0.936,4.7313,15223.4340859154,,,,
0.937,4.7306,15001.5781504686,,,,
0.938,4.73,14779.2139540014,,,,
0.939,4.7293,14556.3414965136,,,,
0.94,4.7286,14332.9607780053,,,,
0.941,4.7279,14109.0717984766,,,,
0.942,4.7273,13884.6745579273,,,,
0.943,4.7266,13659.7690563575,,,,
0.944,4.7259,13434.3552937673,,,,
0.945,4.7253,13208.4332701565,,,,
0.946,4.7246,12982.0029855252,,,,
0.947,4.7239,12755.0644398735,,,,
0.948,4.7232,12527.6176332012,,,,
0.949,4.7226,12299.6625655085,,,,
0.95,4.7219,12071.1992367953,,,,
0.951,4.7105,11842.2276470615,,,,
0.952,4.699,11612.7477963073,,,,
0.953,4.6876,11382.7596845326,,,,
0.954,4.6762,11152.2633117373,,,,
0.955,4.6648,10921.2586779216,,,,
0.956,4.6533,10689.7457830854,,,,
0.957,4.6419,10457.7246272287,,,,
0.958,4.6305,10225.1952103515,,,,
0.959,4.6191,9992.15753245374,,,,
0.96,4.6076,9758.61159353553,,,,
0.961,4.5962,9524.55739359684,,,,
0.962,4.5848,9289.99493263764,,,,
0.963,4.5733,9054.92421065795,,,,
0.964,4.5619,8819.34522765775,,,,
0.965,4.5505,8583.25798363705,,,,
0.966,4.5391,8346.66247859585,,,,
0.967,4.5276,8109.55871253418,,,,
0.968,4.5162,7871.946685452,,,,
0.969,4.5048,7633.82639734933,,,,
0.97,4.4934,7395.19784822615,,,,
0.971,4.4819,7156.06103808249,,,,
0.972,4.4705,6916.41596691831,,,,
0.973,4.4591,6676.26263473366,,,,
0.974,4.4476,6435.60104152849,,,,
0.975,4.4362,6194.43118730284,,,,
0.976,4.2588,5952.75307205667,,,,
0.977,4.0813,5710.56669579003,,,,
0.978,3.9039,5467.87205850287,,,,
0.979,3.7264,5224.66916019523,,,,
0.98,3.549,4980.95800086711,,,,
0.981,3.3715,4736.73858051845,,,,
0.982,3.1941,4492.01089914933,,,,
0.983,3.0166,4246.7749567597,,,,
0.984,2.8392,4001.03075334956,,,,
0.985,2.6617,3754.77828891894,,,,
0.986,2.4843,3508.01756346783,,,,
0.987,2.3068,3260.74857699622,,,,
0.988,2.1294,3012.97132950409,,,,
0.989,1.9519,2764.68582099148,,,,
0.99,1.7745,2515.89205145838,,,,
0.991,1.597,2266.59002090478,,,,
0.992,1.4196,2016.77972933069,,,,
0.993,1.2421,1766.46117673609,,,,
0.994,1.0647,1515.63436312098,,,,
0.995,0.88724,1264.29928848539,,,,
0.996,0.7098,1012.45595282931,,,,
0.997,0.53235,760.10435615272,,,,
0.998,0.35489,507.244498455648,,,,
0.999,0.17745,253.876379738066,,,,
1,0,0,,,,
