y,Ux (sim),Ux (an),,,,
0.152,4.7402,32756.4062489676,,,,
0.153,4.7402,32933.0269535902,,,,
0.154,4.7402,33109.1393971923,,,,
0.155,4.7402,33284.7435797739,,,,
0.156,4.7402,33459.8395013349,,,,
0.157,4.7402,33634.4271618755,,,,
0.158,4.7402,33808.5065613956,,,,
0.159,4.7402,33982.0776998952,,,,
0.16,4.7402,34155.1405773744,,,,
0.161,4.7402,34327.695193833,,,,
0.162,4.7402,34499.7415492711,,,,
0.163,4.7402,34671.2796436887,,,,
0.164,4.7402,34842.3094770858,,,,
0.165,4.7402,35012.8310494624,,,,
0.166,4.7402,35182.8443608186,,,,
0.167,4.7402,35352.3494111542,,,,
0.168,4.7402,35521.3462004693,,,,
0.169,4.7402,35689.834728764,,,,
0.17,4.7402,35857.8149960381,,,,
0.171,4.7402,36025.2870022918,,,,
0.172,4.7402,36192.2507475249,,,,
0.173,4.7402,36358.7062317376,,,,
0.174,4.7402,36524.6534549297,,,,
0.175,4.7402,36690.0924171014,,,,
0.176,4.7402,36855.0231182525,,,,
0.177,4.7402,37019.4455583832,,,,
0.178,4.7402,37183.3597374933,,,,
0.179,4.7402,37346.765655583,,,,
0.18,4.7402,37509.6633126522,,,,
0.181,4.7402,37672.0527087009,,,,
0.182,4.7402,37833.9338437291,,,,
0.183,4.7402,37995.3067177367,,,,
0.184,4.7402,38156.1713307239,,,,
0.185,4.7402,38316.5276826906,,,,
0.186,4.7402,38476.3757736368,,,,
0.187,4.7402,38635.7156035625,,,,
0.188,4.7402,38794.5471724677,,,,
0.189,4.7402,38952.8704803524,,,,
0.19,4.7402,39110.6855272166,,,,
0.191,4.7402,39267.9923130603,,,,
0.192,4.7402,39424.7908378835,,,,
0.193,4.7402,39581.0811016863,,,,
0.194,4.7402,39736.8631044685,,,,
0.195,4.7402,39892.1368462302,,,,
0.196,4.7402,40046.9023269714,,,,
0.197,4.7402,40201.1595466922,,,,
0.198,4.7402,40354.9085053924,,,,
0.199,4.7402,40508.1492030721,,,,
0.2,4.7402,40660.8816397314,,,,
0.201,4.7402,40813.1058153701,,,,
0.202,4.7402,40964.8217299884,,,,
0.203,4.7402,41116.0293835861,,,,
0.204,4.7402,41266.7287761634,,,,
0.205,4.7402,41416.9199077201,,,,
0.206,4.7402,41566.6027782564,,,,
0.207,4.7402,41715.7773877722,,,,
0.208,4.7402,41864.4437362674,,,,
0.209,4.7402,42012.6018237422,,,,
0.21,4.7402,42160.2516501965,,,,
0.211,4.7402,42307.3932156303,,,,
0.212,4.7402,42454.0265200435,,,,
0.213,4.7402,42600.1515634363,,,,
0.214,4.7402,42745.7683458086,,,,
0.215,4.7402,42890.8768671604,,,,
0.216,4.7402,43035.4771274917,,,,
0.217,4.7402,43179.5691268025,,,,
0.218,4.7402,43323.1528650928,,,,
0.219,4.7402,43466.2283423626,,,,
0.22,4.7402,43608.7955586119,,,,
0.221,4.7402,43750.8545138407,,,,
0.222,4.7402,43892.405208049,,,,
0.223,4.7402,44033.4476412369,,,,
0.224,4.7402,44173.9818134042,,,,
0.225,4.7402,44314.007724551,,,,
0.226,4.7402,44453.5253746773,,,,
0.227,4.7402,44592.5347637832,,,,
0.228,4.7402,44731.0358918685,,,,
0.229,4.7402,44869.0287589333,,,,
0.23,4.7402,45006.5133649777,,,,
0.231,4.7402,45143.4897100015,,,,
0.232,4.7402,45279.9577940049,,,,
0.233,4.7402,45415.9176169877,,,,
0.234,4.7402,45551.3691789501,,,,
0.235,4.7402,45686.3124798919,,,,
0.236,4.7402,45820.7475198133,,,,
0.237,4.7402,45954.6742987142,,,,
0.238,4.7402,46088.0928165945,,,,
0.239,4.7402,46221.0030734544,,,,
0.24,4.7402,46353.4050692938,,,,
0.241,4.7402,46485.2988041127,,,,
0.242,4.7402,46616.684277911,,,,
0.243,4.7402,46747.5614906889,,,,
0.244,4.7402,46877.9304424463,,,,
0.245,4.7402,47007.7911331832,,,,
0.246,4.7402,47137.1435628996,,,,
0.247,4.7402,47265.9877315955,,,,
0.248,4.7402,47394.3236392709,,,,
0.249,4.7402,47522.1512859258,,,,
0.25,4.7402,47649.4706715602,,,,
0.251,4.7402,47776.2817961741,,,,
0.252,4.7402,47902.5846597675,,,,
0.253,4.7402,48028.3792623405,,,,
0.254,4.7402,48153.6656038929,,,,
0.255,4.7402,48278.4436844248,,,,
0.256,4.7402,48402.7135039362,,,,
0.257,4.7402,48526.4750624272,,,,
0.258,4.7402,48649.7283598976,,,,
0.259,4.7402,48772.4733963475,,,,
0.26,4.7402,48894.710171777,,,,
