y,u(n0.5) sim,u(n1) sim,u(n1.5) sim,u(n0.5) an,u(n1) an,u(n1.5) an
0.709,0.15432,0.20617,0.22978,0.154494228,0.206319,0.229895097278509
0.71,0.15414,0.20575,0.22921,0.154318666666667,0.2059,0.229335155863625
0.711,0.15396,0.20532,0.22865,0.154141425333333,0.205479,0.228773434027892
0.712,0.15378,0.2049,0.22808,0.153962496,0.205056,0.228209934588451
0.713,0.1536,0.20448,0.22752,0.153781870666667,0.204631,0.227644660344696
0.714,0.15342,0.20405,0.22695,0.153599541333333,0.204204,0.227077614078471
0.715,0.15324,0.20363,0.22639,0.1534155,0.203775,0.226508798554259
0.716,0.15306,0.2032,0.22582,0.153229738666667,0.203344,0.225938216519372
0.717,0.15288,0.20278,0.22526,0.153042249333333,0.202911,0.225365870704138
0.718,0.1527,0.20235,0.22469,0.152853024,0.202476,0.224791763822083
0.719,0.15252,0.20193,0.22413,0.152662054666667,0.202039,0.22421589857011
0.72,0.15234,0.2015,0.22356,0.152469333333333,0.2016,0.223638277628677
0.721,0.15215,0.20108,0.223,0.152274852,0.201159,0.223058903661974
0.722,0.15197,0.20065,0.22243,0.152078602666667,0.200716,0.222477779318089
0.723,0.15179,0.20023,0.22186,0.151880577333333,0.200271,0.221894907229187
0.724,0.15161,0.1998,0.2213,0.151680768,0.199824,0.221310290011666
0.725,0.15143,0.19938,0.22073,0.151479166666667,0.199375,0.22072393026633
0.726,0.15121,0.1989,0.22013,0.151275765333333,0.198924,0.220135830578548
0.727,0.15098,0.19843,0.21952,0.151070556,0.198471,0.219545993518412
0.728,0.15076,0.19795,0.21891,0.150863530666667,0.198016,0.218954421640895
0.729,0.15053,0.19748,0.2183,0.150654681333333,0.197559,0.218361117486008
0.73,0.1503,0.197,0.21769,0.150444,0.1971,0.217766083578952
0.731,0.15008,0.19653,0.21708,0.150231478666667,0.196639,0.217169322430266
0.732,0.14985,0.19605,0.21647,0.150017109333333,0.196176,0.216570836535978
0.733,0.14963,0.19558,0.21586,0.149800884,0.195711,0.21597062837775
0.734,0.1494,0.1951,0.21525,0.149582794666667,0.195244,0.215368700423023
0.735,0.14918,0.19463,0.21465,0.149362833333333,0.194775,0.214765055125157
0.736,0.14895,0.19415,0.21404,0.149140992,0.194304,0.214159694923572
0.737,0.14873,0.19368,0.21343,0.148917262666667,0.193831,0.21355262224389
0.738,0.1485,0.1932,0.21282,0.148691637333333,0.193356,0.212943839498062
0.739,0.14827,0.19273,0.21221,0.148464108,0.192879,0.212333349084512
0.74,0.14805,0.19225,0.2116,0.148234666666667,0.1924,0.211721153388263
0.741,0.14782,0.19178,0.21099,0.148003305333333,0.191919,0.211107254781069
0.742,0.1476,0.1913,0.21038,0.147770016,0.191436,0.210491655621544
0.743,0.14737,0.19083,0.20978,0.147534790666667,0.190951,0.209874358255291
0.744,0.14715,0.19035,0.20917,0.147297621333333,0.190464,0.209255365015022
0.745,0.14692,0.18988,0.20856,0.1470585,0.189975,0.208634678220686
0.746,0.14669,0.1894,0.20795,0.146817418666667,0.189484,0.208012300179589
0.747,0.14647,0.18893,0.20734,0.146574369333333,0.188991,0.207388233186514
0.748,0.14624,0.18845,0.20673,0.146329344,0.188496,0.20676247952384
0.749,0.14602,0.18797,0.20612,0.146082334666667,0.187999,0.206135041461657
0.75,0.14579,0.1875,0.20551,0.145833333333333,0.1875,0.205505921257884
0.751,0.14552,0.18698,0.20486,0.145582332,0.186999,0.204875121158384
0.752,0.14524,0.18645,0.20421,0.145329322666667,0.186496,0.204242643397068
0.753,0.14497,0.18592,0.20356,0.145074297333333,0.185991,0.203608490196018
0.754,0.14469,0.1854,0.20291,0.144817248,0.185484,0.202972663765585
0.755,0.14441,0.18487,0.20226,0.144558166666667,0.184975,0.202335166304505
0.756,0.14414,0.18435,0.20161,0.144297045333333,0.184464,0.201696
0.757,0.14386,0.18382,0.20096,0.144033876,0.183951,0.201055167027886
0.758,0.14359,0.1833,0.20031,0.143768650666667,0.183436,0.200412669552677
0.759,0.14331,0.18277,0.19966,0.143501361333333,0.182919,0.199768509727685
0.76,0.14304,0.18225,0.19901,0.143232,0.1824,0.199122689695123
0.761,0.14276,0.18173,0.19836,0.142960558666667,0.181879,0.198475211586204
0.762,0.14248,0.1812,0.19771,0.142687029333333,0.181356,0.197826077521238
0.763,0.14221,0.18067,0.19705,0.142411404,0.180831,0.197175289609735
0.764,0.14193,0.18015,0.1964,0.142133674666667,0.180304,0.196522849950492
0.765,0.14166,0.17963,0.19575,0.141853833333333,0.179775,0.195868760631695
0.766,0.14138,0.1791,0.1951,0.141571872,0.179244,0.19521302373101
0.767,0.14111,0.17857,0.19445,0.141287782666667,0.178711,0.194555641315675
0.768,0.14083,0.17805,0.1938,0.141001557333333,0.178176,0.193896615442591
0.769,0.14056,0.17752,0.19315,0.140713188,0.177639,0.193235948158416
0.77,0.14028,0.177,0.1925,0.140422666666667,0.1771,0.192573641499646
0.771,0.14,0.17647,0.19185,0.140129985333333,0.176559,0.191909697492712
0.772,0.13973,0.17595,0.1912,0.139835136,0.176016,0.19124411815406
0.773,0.13945,0.17542,0.19055,0.139538110666667,0.175471,0.190576905490241
0.774,0.13918,0.1749,0.1899,0.139238901333333,0.174924,0.189908061497991
0.775,0.1389,0.17437,0.18925,0.1389375,0.174375,0.189237588164322
0.776,0.13857,0.1738,0.18855,0.138633898666667,0.173824,0.188565487466596
0.777,0.13824,0.17322,0.18786,0.138328089333333,0.173271,0.187891761372613
0.778,0.13791,0.17265,0.18717,0.138020064,0.172716,0.187216411840691
0.779,0.13758,0.17208,0.18648,0.137709814666667,0.172159,0.186539440819741
0.78,0.13725,0.1715,0.18579,0.137397333333333,0.1716,0.18586085024935
0.781,0.13692,0.17092,0.1851,0.137082612,0.171039,0.18518064205986
0.782,0.13659,0.17035,0.1844,0.136765642666667,0.170476,0.184498818172441
0.783,0.13626,0.16977,0.18371,0.136446417333333,0.169911,0.183815380499168
0.784,0.13593,0.1692,0.18302,0.136124928,0.169344,0.183130330943097
0.785,0.1356,0.16862,0.18233,0.135801166666667,0.168775,0.18244367139834
0.786,0.13526,0.16805,0.18164,0.135475125333333,0.168204,0.181755403750136
0.787,0.13493,0.16748,0.18095,0.135146796,0.167631,0.181065529874926
0.788,0.1346,0.1669,0.18026,0.134816170666667,0.167056,0.180374051640422
0.789,0.13427,0.16633,0.17956,0.134483241333333,0.166479,0.17968097090568
0.79,0.13394,0.16575,0.17887,0.134148,0.1659,0.178986289521169
0.791,0.13361,0.16517,0.17818,0.133810438666667,0.165319,0.178290009328839
0.792,0.13328,0.1646,0.17749,0.133470549333333,0.164736,0.177592132162193
0.793,0.13295,0.16403,0.1768,0.133128324,0.164151,0.17689265984635
0.794,0.13262,0.16345,0.17611,0.132783754666667,0.163564,0.176191594198115
0.795,0.13229,0.16287,0.17542,0.132436833333333,0.162975,0.175488937026043
0.796,0.13196,0.1623,0.17472,0.132087552,0.162384,0.174784690130509
0.797,0.13163,0.16172,0.17403,0.131735902666667,0.161791,0.174078855303764
0.798,0.1313,0.16115,0.17334,0.131381877333333,0.161196,0.173371434330008
0.799,0.13097,0.16057,0.17265,0.131025468,0.160599,0.172662428985447
0.8,0.13064,0.16,0.17196,0.130666666666667,0.16,0.171951841038358
0.801,0.13025,0.15937,0.17123,0.130305465333333,0.159399,0.171239672249149
0.802,0.12985,0.15875,0.1705,0.129941856,0.158796,0.170525924370423
0.803,0.12946,0.15813,0.16976,0.129575830666667,0.158191,0.169810599147037
0.804,0.12907,0.1575,0.16903,0.129207381333333,0.157584,0.169093698316159
0.805,0.12868,0.15687,0.1683,0.1288365,0.156975,0.168375223607331
0.806,0.12829,0.15625,0.16757,0.128463178666667,0.156364,0.167655176742526
0.807,0.1279,0.15563,0.16684,0.128087409333333,0.155751,0.166933559436205
0.808,0.12751,0.155,0.16611,0.127709184,0.155136,0.166210373395375
0.809,0.12712,0.15437,0.16538,0.127328494666667,0.154519,0.165485620319646
0.81,0.12673,0.15375,0.16465,0.126945333333333,0.1539,0.164759301901285
0.811,0.12634,0.15313,0.16392,0.126559692,0.153279,0.164031419825273
0.812,0.12595,0.1525,0.16319,0.126171562666667,0.152656,0.163301975769359
0.813,0.12556,0.15187,0.16245,0.125780937333333,0.152031,0.162570971404116
0.814,0.12517,0.15125,0.16172,0.125387808,0.151404,0.161838408392991
0.815,0.12478,0.15062,0.16099,0.124992166666667,0.150775,0.161104288392361
0.816,0.12439,0.15,0.16026,0.124594005333333,0.150144,0.160368613051585
0.817,0.124,0.14938,0.15953,0.124193316,0.149511,0.159631384013053
0.818,0.1236,0.14875,0.1588,0.123790090666667,0.148876,0.158892602912242
0.819,0.12321,0.14812,0.15807,0.123384321333333,0.148239,0.158152271377764
0.82,0.12282,0.1475,0.15734,0.122976,0.1476,0.157410391031415
0.821,0.12243,0.14688,0.15661,0.122565118666667,0.146959,0.15666696348823
0.822,0.12204,0.14625,0.15588,0.122151669333333,0.146316,0.155921990356524
0.823,0.12165,0.14562,0.15514,0.121735644,0.145671,0.155175473237948
0.824,0.12126,0.145,0.15441,0.121317034666667,0.145024,0.154427413727536
0.825,0.12087,0.14437,0.15368,0.120895833333333,0.144375,0.153677813413748
0.826,0.12041,0.1437,0.15291,0.120472032,0.143724,0.152926673878522
0.827,0.11996,0.14302,0.15214,0.120045622666667,0.143071,0.152173996697321
0.828,0.1195,0.14235,0.15137,0.119616597333333,0.142416,0.151419783439174
0.829,0.11905,0.14167,0.1506,0.119184948,0.141759,0.150664035666728
0.83,0.11859,0.141,0.14984,0.118750666666667,0.1411,0.14990675493629
0.831,0.11814,0.14033,0.14907,0.118313745333333,0.140439,0.149147942797872
0.832,0.11768,0.13965,0.1483,0.117874176,0.139776,0.148387600795237
0.833,0.11723,0.13897,0.14753,0.117431950666667,0.139111,0.14762573046594
0.834,0.11677,0.1383,0.14676,0.116987061333333,0.138444,0.146862333341375
0.835,0.11631,0.13763,0.14599,0.1165395,0.137775,0.146097410946816
0.836,0.11586,0.13695,0.14522,0.116089258666667,0.137104,0.14533096480146
0.837,0.1154,0.13627,0.14445,0.115636329333333,0.136431,0.14456299641847
0.838,0.11495,0.1356,0.14368,0.115180704,0.135756,0.143793507305016
0.839,0.11449,0.13493,0.14291,0.114722374666667,0.135079,0.143022498962317
0.84,0.11404,0.13425,0.14214,0.114261333333333,0.1344,0.14224997288568
0.841,0.11358,0.13357,0.14137,0.113797572,0.133719,0.141475930564544
0.842,0.11312,0.1329,0.1406,0.113331082666667,0.133036,0.140700373482519
0.843,0.11267,0.13223,0.13983,0.112861857333333,0.132351,0.139923303117423
0.844,0.11221,0.13155,0.13906,0.112389888,0.131664,0.139144720941325
0.845,0.11176,0.13087,0.13829,0.111915166666667,0.130975,0.138364628420584
0.846,0.1113,0.1302,0.13752,0.111437685333333,0.130284,0.137583027015883
0.847,0.11085,0.12953,0.13675,0.110957436,0.129591,0.136799918182275
0.848,0.11039,0.12885,0.13598,0.110474410666667,0.128896,0.136015303369213
0.849,0.10994,0.12818,0.13521,0.109988601333333,0.128199,0.135229184020594
0.85,0.10948,0.1275,0.13444,0.1095,0.1275,0.13444156157479
0.851,0.10895,0.12678,0.13364,0.109008598666667,0.126799,0.133652437464692
0.852,0.10843,0.12605,0.13283,0.108514389333333,0.126096,0.13286181311774
0.853,0.1079,0.12533,0.13202,0.108017364,0.125391,0.132069689955963
0.854,0.10738,0.1246,0.13122,0.107517514666667,0.124684,0.131276069396015
0.855,0.10685,0.12387,0.13041,0.107014833333333,0.123975,0.130480952849205
0.856,0.10633,0.12315,0.1296,0.106509312,0.123264,0.129684341721541
0.857,0.1058,0.12243,0.1288,0.106000942666667,0.122551,0.128886237413758
0.858,0.10527,0.1217,0.12799,0.105489717333333,0.121836,0.128086641321354
0.859,0.10475,0.12097,0.12718,0.104975628,0.121119,0.127285554834626
0.86,0.10422,0.12025,0.12637,0.104458666666667,0.1204,0.126482979338702
0.861,0.1037,0.11953,0.12557,0.103938825333333,0.119679,0.125678916213574
0.862,0.10317,0.1188,0.12476,0.103416096,0.118956,0.124873366834135
0.863,0.10265,0.11808,0.12395,0.102890470666667,0.118231,0.124066332570207
0.864,0.10212,0.11735,0.12315,0.102361941333333,0.117504,0.123257814786577
0.865,0.1016,0.11662,0.12234,0.1018305,0.116775,0.122447814843027
0.866,0.10107,0.1159,0.12153,0.101296138666667,0.116044,0.121636334094369
0.867,0.10054,0.11518,0.12073,0.100758849333333,0.115311,0.120823373890473
0.868,0.10002,0.11445,0.11992,0.100218624,0.114576,0.120008935576302
0.869,0.099492,0.11372,0.11911,0.0996754546666667,0.113839,0.119193020491941
0.87,0.098967,0.113,0.1183,0.0991293333333333,0.1131,0.118375629972627
0.871,0.098441,0.11228,0.1175,0.098580252,0.112359,0.117556765348783
0.872,0.097916,0.11155,0.11669,0.0980282026666667,0.111616,0.116736427946045
0.873,0.09739,0.11082,0.11588,0.0974731773333333,0.110871,0.115914619085295
0.874,0.096864,0.1101,0.11508,0.096915168,0.110124,0.115091340082686
0.875,0.096339,0.10938,0.11427,0.0963541666666667,0.109375,0.114266592249677
0.876,0.095738,0.1086,0.11343,0.0957901653333333,0.108624,0.113440376893061
0.877,0.095137,0.10783,0.11258,0.095223156,0.107871,0.112612695314989
0.878,0.094537,0.10705,0.11174,0.0946531306666667,0.107116,0.111783548813006
0.879,0.093936,0.10627,0.11089,0.0940800813333333,0.106359,0.110952938680075
0.88,0.093336,0.1055,0.11005,0.093504,0.1056,0.110120866204606
0.881,0.092735,0.10473,0.10921,0.0929248786666667,0.104839,0.109287332670484
0.882,0.092134,0.10395,0.10836,0.0923427093333333,0.104076,0.108452339357097
0.883,0.091534,0.10317,0.10752,0.091757484,0.103311,0.107615887539366
0.884,0.090933,0.1024,0.10668,0.0911691946666666,0.102544,0.106777978487767
0.885,0.090333,0.10163,0.10583,0.0905778333333333,0.101775,0.10593861346836
0.886,0.089732,0.10085,0.10499,0.089983392,0.101004,0.105097793742819
0.887,0.089131,0.10007,0.10414,0.0893858626666667,0.100231,0.104255520568456
0.888,0.088531,0.0993,0.1033,0.0887852373333333,0.099456,0.103411795198246
0.889,0.08793,0.098525,0.10246,0.088181508,0.098679,0.102566618880855
0.89,0.087329,0.09775,0.10161,0.0875746666666666,0.0979,0.101719992860665
0.891,0.086729,0.096975,0.10077,0.0869647053333333,0.097119,0.100871918377802
0.892,0.086128,0.0962,0.099926,0.086351616,0.096336,0.100022396668156
0.893,0.085528,0.095425,0.099082,0.0857353906666667,0.095551,0.0991714289634141
0.894,0.084927,0.09465,0.098239,0.0851160213333333,0.094764,0.0983190164910772
0.895,0.084326,0.093875,0.097395,0.0844935,0.093975,0.0974651604744907
0.896,0.083726,0.0931,0.096551,0.0838678186666667,0.093184,0.0966098621328665
0.897,0.083125,0.092325,0.095708,0.0832389693333333,0.092391,0.0957531226813081
0.898,0.082524,0.09155,0.094864,0.082606944,0.091596,0.0948949433308344
0.899,0.081924,0.090775,0.09402,0.0819717346666666,0.090799,0.0940353252884041
0.9,0.081323,0.09,0.093176,0.0813333333333333,0.09,0.0931742697569392
0.901,0.080643,0.089175,0.092297,0.080691732,0.089199,0.0923117779353484
0.902,0.079962,0.08835,0.091417,0.0800469226666666,0.088396,0.0914478510185509
0.903,0.079281,0.087525,0.090538,0.0793988973333333,0.087591,0.0905824901974992
0.904,0.078601,0.0867,0.089658,0.078747648,0.086784,0.0897156966592025
0.905,0.07792,0.085875,0.088778,0.0780931666666667,0.085975,0.0888474715867488
0.906,0.077239,0.08505,0.087899,0.0774354453333333,0.085164,0.0879778161593282
0.907,0.076559,0.084225,0.087019,0.076774476,0.084351,0.0871067315522552
0.908,0.075878,0.0834,0.086139,0.0761102506666666,0.083536,0.0862342189369905
0.909,0.075198,0.082575,0.08526,0.0754427613333333,0.082719,0.0853602794811635
0.91,0.074517,0.08175,0.08438,0.074772,0.0819,0.084484914348594
0.911,0.073836,0.080925,0.0835,0.0740979586666666,0.081079,0.0836081246993141
0.912,0.073156,0.0801,0.082621,0.0734206293333333,0.080256,0.0827299116895891
0.913,0.072475,0.079275,0.081741,0.072740004,0.079431,0.0818502764719399
0.914,0.071795,0.07845,0.080861,0.0720560746666666,0.078604,0.0809692201951631
0.915,0.071114,0.077625,0.079982,0.0713688333333333,0.077775,0.0800867440043526
0.916,0.070433,0.0768,0.079102,0.070678272,0.076944,0.0792028490409206
0.917,0.069753,0.075975,0.078223,0.0699843826666666,0.076111,0.0783175364426174
0.918,0.069072,0.07515,0.077343,0.0692871573333333,0.075276,0.0774308073435532
0.919,0.068391,0.074325,0.076463,0.068586588,0.074439,0.0765426628742171
0.92,0.067711,0.0735,0.075584,0.0678826666666666,0.0736,0.0756531041614982
0.921,0.06703,0.072675,0.074704,0.0671753853333333,0.072759,0.0747621323287054
0.922,0.066349,0.07185,0.073824,0.066464736,0.071916,0.073869748495587
0.923,0.065669,0.071025,0.072945,0.0657507106666666,0.071071,0.0729759537783507
0.924,0.064988,0.0702,0.072065,0.0650333013333333,0.070224,0.0720807492896829
0.925,0.064308,0.069375,0.071185,0.0643125,0.069375,0.0711841361387683
0.926,0.063542,0.0685,0.070271,0.0635882986666666,0.068524,0.0702861154313091
0.927,0.062776,0.067625,0.069356,0.0628606893333333,0.067671,0.0693866882695441
0.928,0.062011,0.06675,0.068441,0.062129664,0.066816,0.0684858557522675
0.929,0.061245,0.065875,0.067526,0.0613952146666666,0.065959,0.0675836189748476
0.93,0.060479,0.065,0.066611,0.0606573333333333,0.0651,0.0666799790292461
0.931,0.059714,0.064125,0.065696,0.059916012,0.064239,0.0657749370040357
0.932,0.058948,0.06325,0.064782,0.0591712426666666,0.063376,0.0648684939844192
0.933,0.058183,0.062375,0.063867,0.0584230173333333,0.062511,0.0639606510522471
0.934,0.057417,0.0615,0.062952,0.057671328,0.0616439999999999,0.0630514092860364
0.935,0.056651,0.060625,0.062037,0.0569161666666666,0.0607749999999999,0.0621407697609877
0.936,0.055886,0.05975,0.061122,0.0561575253333333,0.059904,0.0612287335490038
0.937,0.05512,0.058875,0.060207,0.0553953959999999,0.0590309999999999,0.0603153017187067
0.938,0.054354,0.058,0.059293,0.0546297706666667,0.058156,0.0594004753354557
0.939,0.053589,0.057125,0.058378,0.0538606413333334,0.0572790000000001,0.0584842554613642
0.94,0.052823,0.05625,0.057463,0.053088,0.0564,0.0575666431553175
0.941,0.052057,0.055375,0.056548,0.0523118386666667,0.055519,0.0566476394729896
0.942,0.051292,0.0545,0.055633,0.0515321493333334,0.054636,0.0557272454668605
0.943,0.050526,0.053625,0.054718,0.050748924,0.0537510000000001,0.0548054621862327
0.944,0.049761,0.05275,0.053804,0.0499621546666667,0.0528640000000001,0.0538822906772483
0.945,0.048995,0.051875,0.052889,0.0491718333333334,0.0519750000000001,0.0529577319829053
0.946,0.048229,0.051,0.051974,0.048377952,0.0510840000000001,0.0520317871430744
0.947,0.047464,0.050125,0.051059,0.0475805026666667,0.050191,0.0511044571945151
0.948,0.046698,0.04925,0.050144,0.0467794773333334,0.049296,0.0501757431708923
0.949,0.045932,0.048375,0.04923,0.045974868,0.0483990000000001,0.0492456461027919
0.95,0.045167,0.0475,0.048315,0.0451666666666667,0.0475,0.0483141670177375
0.951,0.044311,0.046575,0.047365,0.0443548653333334,0.046599,0.0473813069402056
0.952,0.043455,0.04565,0.046416,0.043539456,0.045696,0.0464470668916419
0.953,0.0426,0.044725,0.045467,0.0427204306666667,0.044791,0.0455114478904767
0.954,0.041744,0.0438,0.044517,0.0418977813333334,0.043884,0.0445744509521404
0.955,0.040888,0.042875,0.043568,0.0410715,0.042975,0.0436360770890792
0.956,0.040033,0.04195,0.042619,0.0402415786666667,0.0420640000000001,0.04269632731077
0.957,0.039177,0.041025,0.041669,0.0394080093333334,0.041151,0.0417552026237362
0.958,0.038321,0.0401,0.04072,0.038570784,0.040236,0.0408127040315621
0.959,0.037466,0.039175,0.039771,0.0377298946666667,0.039319,0.0398688325349085
0.96,0.03661,0.03825,0.038821,0.0368853333333334,0.0384,0.038923589131527
0.961,0.035754,0.037325,0.037872,0.036037092,0.037479,0.0379769748162752
0.962,0.034899,0.0364,0.036922,0.0351851626666667,0.036556,0.0370289905811314
0.963,0.034043,0.035475,0.035973,0.0343295373333334,0.035631,0.0360796374152087
0.964,0.033187,0.03455,0.035024,0.033470208,0.034704,0.0351289163047699
0.965,0.032332,0.033625,0.034074,0.0326071666666667,0.033775,0.0341768282332415
0.966,0.031476,0.0327,0.033125,0.0317404053333333,0.032844,0.0332233741812283
0.967,0.03062,0.031775,0.032176,0.030869916,0.031911,0.0322685551265273
0.968,0.029764,0.03085,0.031226,0.0299956906666667,0.030976,0.0313123720441415
0.969,0.028909,0.029925,0.030277,0.0291177213333334,0.030039,0.0303548259062947
